branch_name	release_date	serie_folder	set_folder	card_count	priority_tier	priority_score	localized_additions	net_insertions	excluded_reason
pr/XY-Furious-Fists	2014-08-13	XY	Furious Fists	2	4	-500	4	0	
pr/Black-White-Legendary-Treasures	2013-11-06	Black & White	Legendary Treasures	0	4	-500	1	12	
pr/McDonald-s-Collection-Promo-McDonald-s-2013	2013-11-01	McDonald's Collection	Promo McDonald's 2013	1	4	-500	0	0	
pr/Diamond-Pearl-Great-Encounters	2008-02-01	Diamond & Pearl	Great Encounters	2	4	-500	4	0	
pr/Diamond-Pearl-Secret-Wonders	2007-11-01	Diamond & Pearl	Secret Wonders	1	4	-500	2	0	
pr/Diamond-Pearl-Diamond-Pearl	2007-05-01	Diamond & Pearl	Diamond & Pearl	1	4	-500	2	0	
pr/POP-POP-Series-5	2007-03-01	POP	POP Series 5	0	4	-500	1	1	
pr/POP-POP-Series-4	2006-08-01	POP	POP Series 4	1	4	-500	1	0	
pr/POP-POP-Series-3	2006-04-01	POP	POP Series 3	2	4	-500	2	0	
pr/Trainer-kits-EX-trainer-Kit-2-Minun	2006-03-01	Trainer kits	EX trainer Kit 2 (Minun)	1	4	-500	1	0	
pr/Trainer-kits-EX-trainer-Kit-2-Plusle	2006-03-01	Trainer kits	EX trainer Kit 2 (Plusle)	1	4	-500	1	0	
pr/POP-POP-Series-2	2005-08-01	POP	POP Series 2	3	4	-500	3	0	
pr/Neo-Neo-Revelation	2001-09-21	Neo	Neo Revelation	2	4	-500	4	0	
pr/Base-Base-Set	1999-01-09	Base	Base Set	4	4	-500	4	1	
pr/Black-White-Radiant-Collection		Black & White	Radiant Collection	0	4	-500	0	-21	
pr/Pok-mon-TCG-Pocket-Genetic-Apex	2024-10-30	Pokémon TCG Pocket	Genetic Apex	106	3	4648	518	518	
pr/Mega-Evolution-MEP-Black-Star-Promos	2025-09-26	Mega Evolution	MEP Black Star Promos	49	1	7581	574	2160	fails validate (rarity "Black Star Promo" not allowed by interfaces.d.ts)
pr/McDonald-s-Collection-McDonald-s-Collection-2024	2024-12-04	McDonald's Collection	McDonald's Collection 2024	15	1	4205	326	1262	skip McDonald's sets (already pending PR)
pr/McDonald-s-Collection-McDonald-s-Collection-2023	2023-08-01	McDonald's Collection	McDonald's Collection 2023	15	1	3927	296	1224	skip McDonald's sets (already pending PR)
